estaca,x,y
1,614039.1255,9417524.8986
3506,614249.9255,9419036.9386
2,614039.1255,9417532.1986
3507,614249.9255,9419044.4386
3,614039.1255,9417539.4986
3508,614249.9255,9419048.7966
4,614039.1255,9417546.6986
3509,614249.9255,9419056.0966
5,614039.1255,9417554.6986
3510,614249.9255,9419063.3966
6,614039.1255,9417562.1986
3511,614249.9255,9419070.5966
7,614039.1255,9417569.6986
3512,614249.9255,9419078.5966
8,614039.1255,9417574.0566
3513,614249.9255,9419086.0966
9,614039.1255,9417581.3566
3514,614249.9255,9419093.5966
10,614039.1255,9417588.6566
3515,614263.1255,9417524.8986
11,614039.1255,9417595.8566
3516,614263.1255,9417532.1986
12,614039.1255,9417603.8566
3517,614263.1255,9417539.4986
13,614039.1255,9417611.3566
3518,614263.1255,9417546.6986
14,614039.1255,9417618.8566
3519,614263.1255,9417554.6986
15,614039.1255,9417623.2146
3520,614263.1255,9417562.1986
16,614039.1255,9417630.5146
3521,614263.1255,9417569.6986
17,614039.1255,9417637.8146
3522,614263.1255,9417574.0566
18,614039.1255,9417645.0146
3523,614263.1255,9417581.3566
19,614039.1255,9417653.0146
3524,614263.1255,9417588.6566
20,614039.1255,9417660.5146
3525,614263.1255,9417595.8566
21,614039.1255,9417668.0146
3526,614263.1255,9417603.8566
22,614039.1255,9417672.3726
3527,614263.1255,9417611.3566
23,614039.1255,9417679.6726
3528,614263.1255,9417618.8566
24,614039.1255,9417686.9726
3529,614263.1255,9417623.2146
25,614039.1255,9417694.1726
3530,614263.1255,9417630.5146
26,614039.1255,9417702.1726
3531,614263.1255,9417637.8146
27,614039.1255,9417709.6726
3532,614263.1255,9417645.0146
28,614039.1255,9417717.1726
3533,614263.1255,9417653.0146
29,614039.1255,9417721.5306
3534,614263.1255,9417660.5146
30,614039.1255,9417728.8306
3535,614263.1255,9417668.0146
31,614039.1255,9417736.1306
3536,614263.1255,9417672.3726
32,614039.1255,9417743.3306
3537,614263.1255,9417679.6726
33,614039.1255,9417751.3306
3538,614263.1255,9417686.9726
34,614039.1255,9417758.8306
3539,614263.1255,9417694.1726
