estaca,x,y
1,-37.9708944526355,-5.26883513952029
3506,-37.9690148884921,-5.25515547573096
2,-37.9708945612889,-5.26876911044541
3507,-37.9690150000341,-5.2550876376509
3,-37.9708946699409,-5.26870308137037
3508,-37.9690150648469,-5.25504821920378
4,-37.9708947771032,-5.26863795680309
3509,-37.9690151734123,-5.25498219013895
5,-37.9708948961708,-5.2685655961726
3510,-37.9690152819763,-5.25491616107397
6,-37.9708950077952,-5.26849775808136
3511,-37.9690153890517,-5.25485103651661
7,-37.9708951194182,-5.26842991998997
3512,-37.9690155080229,-5.25477867589715
8,-37.9708951842779,-5.26839050153626
3513,-37.9690156195569,-5.25471083781625
9,-37.970895292922,-5.26832447246042
3514,-37.9690157310894,-5.25464299973521
10,-37.9708954015647,-5.26825844338442
3515,-37.9688732655651,-5.26883179409683
11,-37.9708955087179,-5.26819331881619
3516,-37.9688733744318,-5.2687657650641
12,-37.9708956277753,-5.26812095818466
3517,-37.9688734832972,-5.26869973603121
13,-37.9708957393902,-5.26805312009244
3518,-37.9688735906699,-5.2686346115055
14,-37.9708958510036,-5.26798528200007
3519,-37.9688737099712,-5.26856225092121
15,-37.9708959158577,-5.26794586354578
3520,-37.9688738218148,-5.26849441287328
16,-37.9708960244926,-5.26787983446899
3521,-37.9688739336569,-5.2684265748252
17,-37.970896133126,-5.26781380539204
3522,-37.9688739986439,-5.26838715639665
18,-37.9708962402699,-5.26774868082287
3523,-37.9688741075013,-5.26832112736296
19,-37.9708963593172,-5.26767632019028
3524,-37.9688742163573,-5.26825509832912
20,-37.9708964709225,-5.26760848209708
3525,-37.9688743237208,-5.26818997380246
21,-37.9708965825264,-5.26754064400373
3526,-37.968874443012,-5.26811761321712
22,-37.970896647375,-5.26750122554887
3527,-37.968874554846,-5.26804977516821
23,-37.9708967560005,-5.26743519647112
3528,-37.9688746666785,-5.26798193711915
24,-37.9708968646246,-5.26736916739322
3529,-37.96887473166,-5.26794251869003
25,-37.9708969717594,-5.2673040428231
3530,-37.9688748405081,-5.26787648965539
26,-37.9708970907965,-5.26723168218947
3531,-37.9688749493548,-5.26781046062059
27,-37.9708972023922,-5.26716384409528
3532,-37.9688750567091,-5.26774533609299
28,-37.9708973139865,-5.26709600600095
3533,-37.96887517599,-5.2676729755066
29,-37.9708973788296,-5.26705658754552
3534,-37.9688752878144,-5.26760513745671
30,-37.9708974874458,-5.2669905584668
3535,-37.9688753996374,-5.26753729940666
31,-37.9708975960606,-5.26692452938796
3536,-37.9688754646133,-5.26749788097697
32,-37.9708977031862,-5.26685940481688
3537,-37.9688755734521,-5.26743185194138
33,-37.9708978222131,-5.2667870441822
3538,-37.9688756822894,-5.26736582290562
34,-37.9708979337993,-5.26671920608703
3539,-37.9688757896346,-5.26730069837708
35,-37.9708980453841,-5.26665136799172
3540,-37.9688759089053,-5.26722833778964
36,-37.9708981102216,-5.26661194953574
3541,-37.9688760207202,-5.26716049973877
37,-37.9708982188285,-5.26654592045606
3542,-37.9688761325335,-5.26709266168774
38,-37.970898327434,-5.26647989137626
3543,-37.9688761975039,-5.26705324325748
39,-37.9708984345505,-5.26641476680424
3544,-37.9688763063333,-5.26698721422091
40,-37.9708985535672,-5.26634240616852
3545,-37.9688764151614,-5.26692118518422
41,-37.9708986651438,-5.26627456807237
3546,-37.9688765224973,-5.26685606065472
42,-37.970898776719,-5.26620672997607
3547,-37.9688766417579,-5.26678370006623
43,-37.970898841551,-5.26616731151952
3548,-37.9688767535631,-5.26671586201437
44,-37.9708989501486,-5.26610128243889
3549,-37.9688768653669,-5.26664802396236
45,-37.9708990587448,-5.26603525335813
3550,-37.9688769303317,-5.26660860553155
46,-37.9708991658521,-5.26597012878517
3551,-37.9688770391519,-5.26654257649402
47,-37.9708992848586,-5.2658977681484
3552,-37.9688771479706,-5.26647654745637
48,-37.9708993964257,-5.26582993005126
3553,-37.9688772552973,-5.26641142292593
49,-37.9708995079913,-5.26576209195398
3554,-37.9688773745477,-5.2663390623364
50,-37.9708995728177,-5.26572267349687
3555,-37.9688774863434,-5.26627122428356
51,-37.9708996814061,-5.26565664441528
3556,-37.9688775981376,-5.26620338623057
52,-37.970899789993,-5.26559061533357
3557,-37.9688776630968,-5.26616396779918
53,-37.9708998970911,-5.26552549075966
3558,-37.9688777719077,-5.2660979387607
54,-37.9709000160874,-5.26545313012184
3559,-37.9688778807171,-5.2660319097221
55,-37.970900127645,-5.26538529202373
3560,-37.9688779880346,-5.26596678519071
56,-37.9709002392011,-5.26531745392547
3561,-37.9688781072748,-5.26589442460013
57,-37.9709003040219,-5.26527803546777
3562,-37.9688782190609,-5.26582658654631
58,-37.9709004126009,-5.26521200638523
3563,-37.9688783308456,-5.26575874849234
59,-37.9709005211786,-5.26514597730256
3564,-37.9688783957992,-5.26571933006038
60,-37.9709006282675,-5.26508085272772
3565,-37.9688785046007,-5.26565330102094
61,-37.9709007472536,-5.26500849208885
3566,-37.9688786134008,-5.26558727198138
62,-37.9709008588016,-5.26494065398976
3567,-37.9688787207092,-5.26552214744905
63,-37.9709009703482,-5.26487281589051
3568,-37.9688788399391,-5.26544978685743
64,-37.9709010351635,-5.26483339743225
3569,-37.9688789517157,-5.26538194880262
65,-37.9709011437332,-5.26476736834875
3570,-37.9688790634908,-5.26531411074767
66,-37.9709012523015,-5.26470133926511
3571,-37.9688791284389,-5.26527469231514
67,-37.9709013593813,-5.26463621468934
3572,-37.9688792372311,-5.26520866327475
68,-37.9709014783572,-5.26456385404943
3573,-37.9688793460219,-5.26514263423423
69,-37.9709015898957,-5.26449601594935
3574,-37.968879453321,-5.26507750970096
70,-37.9709017014327,-5.26442817784913
3575,-37.9688795725408,-5.26500514910829
71,-37.9709017662424,-5.2643887593903
3576,-37.9688796843077,-5.2649373110525
72,-37.9709018748028,-5.26432273030584
3577,-37.9688797960732,-5.26486947299657
73,-37.9709019833619,-5.26425670122124
3578,-37.9688798610158,-5.26483005456347
74,-37.9709020904325,-5.26419157664453
3579,-37.9688799697987,-5.26476402552212
75,-37.9709022093982,-5.26411921600357
3580,-37.9688800785801,-5.26469799648064
76,-37.9709023209271,-5.26405137790251
3581,-37.9688801858701,-5.26463287194644
77,-37.9709024324545,-5.2639835398013
3582,-37.9688803050796,-5.26456051135272
78,-37.9709024972587,-5.26394412134189
3583,-37.968880416837,-5.26449267329595
79,-37.9709026058099,-5.26387809225649
3584,-37.968880528593,-5.26442483523903
80,-37.9709027143596,-5.26381206317094
3585,-37.96888059353,-5.26438541680537
81,-37.9709028214211,-5.26374693859329
3586,-37.9688807023035,-5.26431938776306
82,-37.9709029403766,-5.26367457795128
3587,-37.9688808110757,-5.26425335872062
83,-37.9709030518959,-5.26360673984924
3588,-37.9688809183565,-5.26418823418548
84,-37.9709031634138,-5.26353890174705
3589,-37.9688810375558,-5.26411587359071
85,-37.9709032282125,-5.26349948328706
3590,-37.9688811493036,-5.26404803553296
86,-37.9709033367543,-5.26343345420072
3591,-37.96888126105,-5.26398019747506
87,-37.9709034452948,-5.26336742511421
3592,-37.9688813259814,-5.26394077904081
88,-37.970903552347,-5.26330230053562
3593,-37.9688814347457,-5.26387474999757
89,-37.9709036712924,-5.26322993989256
3594,-37.9688815435085,-5.26380872095417
90,-37.9709037828022,-5.26316210178954
3595,-37.9688816507801,-5.26374359641809
91,-37.9709038943105,-5.26309426368637
3596,-37.9688817699692,-5.26367123582227
92,-37.9709039591036,-5.26305484522581
3597,-37.9688818817075,-5.26360339776354
93,-37.9709040676361,-5.26298881613851
3598,-37.9688819934443,-5.26353555970466
94,-37.9709041761673,-5.26292278705105
3599,-37.9688820583701,-5.26349614126984
95,-37.9709042832104,-5.26285766247151
3600,-37.9688821671251,-5.26343011222564
96,-37.9709044021455,-5.26278530182741
3601,-37.9688822758786,-5.26336408318129
97,-37.9709045136458,-5.2627174637234
3602,-37.968882383141,-5.26329895864426
98,-37.9709046251445,-5.26264962561925
3603,-37.9688825023199,-5.2632265980474
99,-37.9709046899321,-5.26261020715812
3604,-37.9688826140486,-5.26315875998769
100,-37.9709047984553,-5.26254417806987
3605,-37.9688827257758,-5.26309092192783
101,-37.9709049069772,-5.26247814898145
3606,-37.9688827906961,-5.26305150349243
102,-37.9709050140111,-5.26241302440097
3607,-37.9688828994417,-5.26298547444728
103,-37.9709051329361,-5.26234066375582
3608,-37.968883008186,-5.26291944540197
104,-37.9709052444268,-5.26227282565084
3609,-37.9688831154392,-5.26285432086401
105,-37.970905355916,-5.26220498754571
3610,-37.9688832346079,-5.2627819602661
106,-37.970905420698,-5.26216556908401
3611,-37.968883346327,-5.26271412220541
107,-37.9709055292119,-5.26209953999478
3612,-37.9688834580446,-5.26264628414456
108,-37.9709056377245,-5.26203351090543
3613,-37.9688835229594,-5.2626068657086
109,-37.9709057447492,-5.26196838632398
3614,-37.9688836316957,-5.26254083666249
110,-37.970905863664,-5.26189602567779
3615,-37.9688837404306,-5.26247480761623
111,-37.9709059751452,-5.26182818757183
3616,-37.9688838476746,-5.26240968307732
112,-37.9709060866248,-5.26176034946571
3617,-37.9688839668331,-5.26233732247837
113,-37.9709061514013,-5.26172093100346
3618,-37.9688840785426,-5.26226948441669
114,-37.9709062599059,-5.26165490191328
3619,-37.9688841902507,-5.26220164635487
115,-37.9709063684092,-5.26158887282297
3620,-37.9688842551599,-5.26216222791833
116,-37.9709064754248,-5.26152374824059
3621,-37.9688843638869,-5.26209619887125
117,-37.9709065943294,-5.26145138759335
3622,-37.9688844726125,-5.26203016982405
118,-37.9709067058009,-5.2613835494864
3623,-37.9688845798473,-5.26196504528419
119,-37.9709068172711,-5.26131571137931
3624,-37.9688846989956,-5.26189268468418
120,-37.970906882042,-5.26127629291649
3625,-37.9688848106955,-5.26182484662153
121,-37.9709069905373,-5.26121026382535
3626,-37.9688849223941,-5.26175700855872
122,-37.9709070990313,-5.26114423473408
3627,-37.9688849872977,-5.26171759012163
123,-37.9709072060377,-5.26107911015076
3628,-37.9688850960153,-5.2616515610736
124,-37.9709073249321,-5.26100674950247
3629,-37.9688852047316,-5.26158553202544
125,-37.9709074363941,-5.26093891139455
3630,-37.9688853119573,-5.26152040748464
126,-37.9709075478547,-5.26087107328647
3631,-37.9688854310953,-5.26144804688359
127,-37.97090761262,-5.26083165482308
3632,-37.9688855427857,-5.26138020881995
128,-37.9709077211061,-5.26076562573099
3633,-37.9688856544747,-5.26131237075616
129,-37.9709078295908,-5.26069959663877
3634,-37.9688857193727,-5.26127295231851
130,-37.970907936588,-5.2606344720545
3635,-37.9688858280811,-5.26120692326952
131,-37.9709080554722,-5.26056211140517
3636,-37.968885936788,-5.26114089422041
